area_id,sex,agegr_id,indicator,time,mean,se,median,lower,upper
MWI,female,29,prevalence,2016.25,0.10610629146088,0.009403211148224,0.106153676968522,0.088475889531668,0.124450370212396
MWI,male,14,art_coverage,2016.25,0.353569877493253,0.064499016901332,0.351207259678307,0.236617418067697,0.48809677236894
MWI,male,15,art_coverage,2016.25,0.353535890403793,0.064470602560091,0.351321376179483,0.236562759136085,0.487901576484409
MWI,male,16,art_coverage,2016.25,0.391458539974092,0.034242250844073,0.391071479627908,0.324254230876167,0.457696126212718
MWI,male,17,art_coverage,2016.25,0.391439829600332,0.034234772151465,0.391067213085758,0.324035118112046,0.457818515787048
MWI,male,18,art_coverage,2016.25,0.658625577708958,0.023993112292342,0.658767711160598,0.612019003689647,0.705234022073093
MWI,male,19,art_coverage,2016.25,0.658242500752545,0.024044270732894,0.658499783951613,0.611571881546708,0.705262645299496
MWI,male,20,art_coverage,2016.25,0.657581637487321,0.024128245234994,0.657767422398368,0.610806437934814,0.705120936496171
MWI,male,29,art_coverage,2016.25,0.745008113327447,0.035421782905202,0.74562663084962,0.671871119540849,0.811947823364709
MWI,female,14,art_coverage,2016.25,0.482148486799933,0.036201855251609,0.482642471432768,0.412098329398193,0.552919197045884
MWI,female,15,art_coverage,2016.25,0.482062363425592,0.036162982576078,0.482573184761422,0.412139534121795,0.553354197797883
MWI,female,16,art_coverage,2016.25,0.669872285377706,0.020689129150875,0.669832573710335,0.627763218679145,0.709850768001752
MWI,female,17,art_coverage,2016.25,0.669612082661099,0.020694550258496,0.669566047932133,0.627390306881353,0.70944691314018
MWI,female,18,art_coverage,2016.25,0.768548507952244,0.016068107357378,0.7691327555713,0.736977083947744,0.798971514214674
MWI,female,19,art_coverage,2016.25,0.76822704944813,0.016131186168827,0.768751402681255,0.73698758502417,0.798775662074521
MWI,female,20,art_coverage,2016.25,0.768334478351073,0.016160672876897,0.768801971174139,0.737027459508085,0.798842595872299
MWI,female,29,art_coverage,2016.25,0.716679856854441,0.033129481634488,0.717608321083139,0.647760967171122,0.77890804707255
MWI,male,14,incidence,2016.25,0.000649849705287,3.12029798171385E-05,0.000649406774946,0.000589945648431,0.000711678670772
MWI,male,15,incidence,2016.25,0.003758083882616,0.000179786704617,0.003753801704503,0.003415028977711,0.004115020884968
MWI,male,16,incidence,2016.25,0.005382285908319,0.000259807682785,0.005379675431819,0.004885848532682,0.005897191180686
